mean,err
-0.06762088630624351,9.585904444252435e-6
-0.046039166851363014,5.845328372468381e-6
-0.008613980571781359,2.848233599007198e-6
-0.002492212547378527,2.130623894212379e-6
-0.0010027920962198305,1.64302039463476e-6
-0.0004967280630391207,1.2823816206472308e-6
-0.00027869454652958625,1.035074307728539e-6
-0.0001688270030782427,8.616560777599226e-7
-0.00010749016228580256,7.282312949853017e-7
-0.00007090187623176047,6.140034180051739e-7
-0.00004808796381641179,5.105145427586663e-7
-0.000033280804949159926,4.258850985062957e-7
-0.000023376333431521167,3.6890584517485423e-7
-0.00001666282896470319,3.2385580946200224e-7
-0.000012003417651083463,2.882004585695791e-7
-8.734178732650656e-6,2.6907969243836466e-7
-6.434243512456206e-6,2.562785634239349e-7
-4.790746600400095e-6,2.4159683078459056e-7
-3.580661343793971e-6,2.288605137458741e-7
-2.689023311494307e-6,2.177514078570092e-7
-2.0647558990602617e-6,2.1347286750630615e-7
-1.5817378842350627e-6,2.2064406644453904e-7
-1.23768124085856e-6,2.3130370281882743e-7
-1.0689546009371254e-6,2.3735387542364855e-7
-1.0316831263301677e-6,2.3809304167212557e-7
-1.0689546009371254e-6,2.3735387542364855e-7
-1.23768124085856e-6,2.3130370281882743e-7
-1.5817378842350627e-6,2.2064406644453904e-7
-2.0647558990602617e-6,2.1347286750630615e-7
-2.689023311494307e-6,2.177514078570092e-7
-3.580661343793971e-6,2.288605137458741e-7
-4.790746600400095e-6,2.4159683078459056e-7
-6.434243512456206e-6,2.562785634239349e-7
-8.734178732650656e-6,2.6907969243836466e-7
-0.000012003417651083463,2.882004585695791e-7
-0.00001666282896470319,3.2385580946200224e-7
-0.000023376333431521167,3.6890584517485423e-7
-0.000033280804949159926,4.258850985062957e-7
-0.00004808796381641179,5.105145427586663e-7
-0.00007090187623176047,6.140034180051739e-7
-0.00010749016228580256,7.282312949853017e-7
-0.0001688270030782427,8.616560777599226e-7
-0.00027869454652958625,1.035074307728539e-6
-0.0004967280630391207,1.2823816206472308e-6
-0.0010027920962198305,1.64302039463476e-6
-0.002492212547378527,2.130623894212379e-6
-0.008613980571781359,2.848233599007198e-6
-0.046039166851363014,5.845328372468381e-6
